Ticker,Name,AZS
 ,Investable Universe (2008),-190.49
,,
ONE CN Equity,01 COMMUNIQUE LABORATORY INC,4.3988
ONEM US Equity,1LIFE HEALTHCARE INC,2.4742
ISOL US Equity,1MAGE SOFTWARE INC,-45.8482
SPA LN Equity,1SPATIAL PLC,-0.5448
TTEZ US Equity,3AM TECHNOLOGIES INC, 
DDD US Equity,3D SYSTEMS CORP,8.4826
4GBL LN Equity,4GLOBAL PLC, 
2448602D US Equity,6D GLOBAL TECHNOLOGIES INC,8.31
74SW FP Equity,74SOFTWARE SA,3.8565
EGHT US Equity,8X8 INC,1.7627
ATEN US Equity,A10 NETWORKS INC,4.3993
SPERR SS Equity,AB SPERRUNG, 
ABXX CN Equity,ABAXX TECHNOLOGIES IN,171.7154
ABBY US Equity,ABBY INC, 
ABZT US Equity,ABLAZE TECHNOLOGIES INC, 
ABST CN Equity,ABSOLUTE SOFTWARE CORPORATIO,-0.4406
AECX US Equity,ACADIA ENERGY CORP, 
ACAST SS Equity,ACAST AB, 
ACNV US Equity,ACCELERA INNOVATIONS INC, 
AXE CN Equity,ACCELEWARE LTD,-7.6794
ACN US Equity,ACCENTURE PLC-CL A,9.5768
AWWC US Equity,ACCESS WORLDWIDE COMM INC,-6.3362
ACSO LN Equity,ACCESSO TECHNOLOGY GROUP PLC,5.9506
ACCON SS Equity,ACCONEER AB,82.8801
ACIW US Equity,ACI WORLDWIDE INC,3.4726
ACMR US Equity,ACM RESEARCH INC-CLASS A,6.9302
ACFN US Equity,ACORN ENERGY INC,-22.7901
EOS FP Equity,ACTEOS,1.6315
AOM LN Equity,ACTIVEOPS PLC,5.5128
MLACT FP Equity,ACTIVIUM GROUP,2.7392
ACT LN Equity,ACTUAL EXPERIENCE PLC,17.8199
ACVA US Equity,ACV AUCTIONS INC-A, 
ADEA US Equity,ADEIA INC,4.0864
ADN1 GR Equity,ADESSO SE, 
ADMCM FH Equity,ADMICOM OYJ,54.5426
ADBE US Equity,ADOBE INC,19.6921
ADTN US Equity,ADTRAN HOLDINGS INC,6.2642
9990711D US Equity,ADTRAN INC, 
ADV GR Equity,ADTRAN NETWORKING SE,3.8382
ABT GR Equity,ADVANCED BITCOIN TECHNOLOGIE, 
ABX GR Equity,ADVANCED BLOCKCHAIN AG, 
AMD US Equity,ADVANCED MICRO DEVICES,21.6109
APWL US Equity,ADVANCED POWERLINE TECHNOLOG, 
ADVCD US Equity,ADVANT-E CORPORATION,11.7667
ADVE SS Equity,ADVENICA AB,1.0378
AEHR US Equity,AEHR TEST SYSTEMS,-1.1063
AGHC US Equity,AEON GLOBAL HEALTH CORP,-19.8737
AERS US Equity,AERIUS INC, 
AMEN SM Equity,AETERNAL MENTIS, 
AFRN LN Equity,AFERIAN PLC,5.05
AFFN US Equity,AFFINITY NETWORKS INC, 
AFTM US Equity,AFTERMASTER INC, 
AIFS US Equity,AGENT INFORMATION SOFTWARE I, 
AGIL SM Equity,AGILE CONTENT SA,2.0319
AGILQ US Equity,AGILETHOUGHT INC,-0.2245
AGILC DC Equity,AGILLIC A/S,0.6636
AGYS US Equity,AGILYSYS INC,13.3013
AIFORIA FH Equity,AIFORIA TECHNOLOGIES OYJ, 
AIRG US Equity,AIRGAIN INC,3.1555
IQ CN Equity,AIRIQ INC,-25.6958
MIMOQ US Equity,AIRSPAN NETWORKS HOLDINGS IN, 
AISX CN Equity,AISIX SOLUTIONS INC,25.2105
AIXIAB SS Equity,AIXIA GROUP AB,6.1566
AIXA GR Equity,AIXTRON SE,11.3264
AKAM US Equity,AKAMAI TECHNOLOGIES INC,4.4504
AKTSQ US Equity,AKOUSTIS TECHNOLOGIES INC,34.9997
NMI GR Equity,ALADDIN HEALTHCARE TECHNOLOG,-26.969
ALAN US Equity,ALANCO TECHNOLOGIES INC, 
ALMY US Equity,ALCHEMY CREATIVE INC, 
ALFA LN Equity,ALFA FINANCIAL SOFTWARE HOLD,8.2869
ALFIQ US Equity,ALFI INC, 
ALFO IM Equity,ALFONSINO SPA, 
RIME US Equity,ALGORHYTHM HOLDINGS INC,1.1434
ALW IM Equity,ALGOWATT SPA,-0.1946
ALHC US Equity,ALIGNMENT HEALTHCARE INC,5.2625
ALYA CN Equity,ALITHYA GROUP INC-CLASS A,2.1348
ALJJ US Equity,ALJ REGIONAL HOLDINGS INC/OL,0.8334
ALKT US Equity,ALKAMI TECHNOLOGY INC,13.4647
A1OS GR Equity,ALL FOR ONE GROUP SE,4.0258
ATMH US Equity,ALL THINGS MOBILE ANALYTIC, 
ADGL US Equity,ALLDIGITAL HOLDINGS INC,-9.9431
ALGM US Equity,ALLEGRO MICROSYSTEMS INC,28.6738
ADSV US Equity,ALLIED SECURITY INNOVATIONS,-128.0634
AIW IM Equity,ALMAWAVE SPA, 
AOSL US Equity,ALPHA & OMEGA SEMICONDUCTOR,2.6274
AWE LN Equity,ALPHAWAVE IP GROUP PLC, 
NPA/H CN Equity,ALPHINAT INC,-13.2294
ALTR US Equity,ALTAIR ENGINEERING INC - A,8.9585
AHG CN Equity,ALTERNATE HEALTH CORP,-10.4913
AYX US Equity,ALTERYX INC - CLASS A,3.1993
ALC SM Equity,ALTIA CONSULTORES SA,7.7889
ATGN US Equity,ALTIGEN COMMUNICATIONS INC, 
ALT LN Equity,ALTITUDE GROUP PLC,3.7946
ALAMA FP Equity,AMA CORP PLC, 
AMBA US Equity,AMBARELLA INC,41.0998
DOX US Equity,AMDOCS LTD,6.2064
ADHC US Equity,AMERICAN DIVERSIFIED HOLDING, 
AGIN US Equity,AMERICAN GRAPHITE TECHNOLOGI, 
AMWK US Equity,AMERISTAR NETWORK INC, 
ATVK US Equity,AMERITEK VENTURES,-313.9126
AMST US Equity,AMESITE INC,16.7389
AMIDO SS Equity,AMIDO AB, 
AMJT US Equity,AMJ GLOBAL TECHNOLOGY, 
AMKR US Equity,AMKOR TECHNOLOGY INC,3.0145
AMPD CN Equity,AMPD VENTURES INC, 
AMPG US Equity,AMPLITECH GROUP INC,16.3778
AMPL US Equity,AMPLITUDE INC-CLASS A,18.1083
AMS SW Equity,AMS-OSRAM AG,1.4949
AMTE LN Equity,AMTE POWER PLC, 
ASYS US Equity,AMTECH SYSTEMS INC,4.2722
ALY CN Equity,ANALYTIXINSIGHT INC,49.5222
PLAN US Equity,ANAPLAN INC,10.2059
ANDI US Equity,ANDIAMO CORP, 
ANDR US Equity,ANDREA ELECTRONICS CORP,-108.554
ANON CN Equity,ANONYMOUS INTELLIGENCE COMPA,10.5539
ANOT SS Equity,ANOTO GROUP AB,-30.2572
ANSS US Equity,ANSYS INC,15.7443
ATEX US Equity,ANTERIX INC,11.6194
AAQL US Equity,ANTIAGING QUANTUM LIVING INC, 
APPF US Equity,APPFOLIO INC - A,23.9974
APGTQ US Equity,APPGATE INC, 
APPN US Equity,APPIAN CORP-A,16.605
AAPL US Equity,APPLE INC,7.1502
AMAT US Equity,APPLIED MATERIALS INC,10.0017
AAOI US Equity,APPLIED OPTOELECTRONICS INC,0.53
AUVIQ US Equity,APPLIED UV INC, 
ALDS US Equity,APPLIFE DIGITAL SOLUTIONS IN,-73.478
ASFT US Equity,APPSOFT TECHNOLOGIES INC, 
APTR SS Equity,APPSPOTR AB,4.3066
2054374D US Equity,APPYEA INC/SD, 
APTY US Equity,APT SYSTEMS INC, 
APTD LN Equity,APTITUDE SOFTWARE GROUP PLC,7.2087
AHCD US Equity,ARCHIVALCD INC, 
ALJXR FP Equity,ARCHOS,0.4326
ARC LN Equity,ARCONTECH GROUP PLC,9.2193
ARGEO NO Equity,ARGEO ASA, 
ARGH CN Equity,ARGO CORP,-0.5196
ART/H CN Equity,ARHT MEDIA INC,-4.5038
ANET US Equity,ARISTA NETWORKS INC,12.6666
ARLO US Equity,ARLO TECHNOLOGIES INC,1.1586
ARQQ US Equity,ARQIT QUANTUM INC, 
3664 TT Equity,ARRAY INC,1.1336
ARRAF US Equity,ARRIA NLG PLC,-9.5615
ARR NO Equity,ARRIBATEC GROUP ASA, 
ARW US Equity,ARROW ELECTRONICS INC,3.956
A6T GR Equity,ARTEC TECHNOLOGIES AG,7.8221
AIP US Equity,ARTERIS INC, 
ARTD US Equity,ARTISTDIRECT INC,-93.8381
TLIK GR Equity,ARZNEIWERK AG VIDA, 
ASAN US Equity,ASANA INC - CL A,30.4264
ASB PW Equity,ASBISC ENTERPRISES PLC,5.0985
ASCN SW Equity,ASCOM HOLDING AG-REG,5.7464
ASGN US Equity,ASGN INC,7.0176
ASML NA Equity,ASML HOLDING NV, 
2061517D US Equity,ASPEN TECHNOLOGY INC,12.3129
ACG1V FH Equity,ASPOCOMP GROUP OYJ,4.1634
APYI US Equity,ASPYRA INC,-18.3644
ASY FP Equity,ASSYSTEM,1.832
ASTO US Equity,ASTRO COMMUNICATIONS INC, 
ALOT US Equity,ASTRONOVA INC,5.3678
ASUR US Equity,ASURE SOFTWARE INC,-0.9504
ATEA NO Equity,ATEA ASA,6.359
ATEME FP Equity,ATEME SA,3.4008
ATYG US Equity,ATLAS TECHNOLOGY GROUP INC,-112.9792
2207548D US Equity,ATLASSIAN CORP LTD-CL A, 
ATOM US Equity,ATOMERA INC, 
AOF GR Equity,ATOSS SOFTWARE SE,27.4128
AUB FP Equity,AUBAY,4.5795
AUUD US Equity,AUDDIA INC,17.5011
AUDNTS DC Equity,AUDIENTES A/S, 
AEYE US Equity,AUDIOEYE INC,4.1981
3ITN GR Equity,AUDIUS SE,8.4322
AUGX US Equity,AUGMEDIX INC,-5.2278
ATS AV Equity,AUSTRIA TECHNOLOGIE & SYSTEM,1.558
AHRO US Equity,AUTHENTIC HOLDINGS INC,-133.7944
AUID US Equity,AUTHID INC,32.5285
AUTO NO Equity,AUTOSTORE HOLDINGS LTD, 
AVLR US Equity,AVALARA INC,6.1577
AVYAQ US Equity,AVAYA HOLDINGS CORP,1.4078
AVEN SS Equity,AVENSIA AB,6.7166
AVPT US Equity,AVEPOINT INC, 
AVV LN Equity,AVEVA GROUP LTD,8.0904
AVNW US Equity,AVIAT NETWORKS INC,0.4116
AVID US Equity,AVID TECHNOLOGY INC,-2.9005
AVDX US Equity,AVIDXCHANGE HOLDINGS INC, 
