Ticker,Name,EBIT/Tot Int Exp:2024,EBIT/Tot Int Exp:2023,EBIT/Tot Int Exp:2022,EBIT/Tot Int Exp:2021,EBIT/Tot Int Exp:2020C,EBIT/Tot Int Exp:2019,EBIT/Tot Int Exp:2018,EBIT/Tot Int Exp:2017,EBIT/Tot Int Exp:2016
ANON CN Equity,ANONYMOUS INTELLIGENCE COMPA, ,-737.5173,-552.3928,-106.8704,-12.9109,-16.9638,-8.1812,-40.3497,-27.4648
ANOT SS Equity,ANOTO GROUP AB,-38.2088,-10.6477,-10.4596,-33.2265,-232.4292,-58.6285,-233.6836,-329.5315,-42.224
ANSS US Equity,ANSYS INC,15.0032,13.281,26.0784,41.3761,45.1726,148.8125, , , 
ATEX US Equity,ANTERIX INC, , , , , , ,-10575.333,-6556.6001,-7251.9111
AAQL US Equity,ANTIAGING QUANTUM LIVING INC, , , , , , , , , 
ATSI SM Equity,APLICACIONES Y TRATAMIENTOS,20.6702,21.2267,101.5519, , , , , , 
APPF US Equity,APPFOLIO INC - A, , , , ,5.291,3.9063, , , 
APPN US Equity,APPIAN CORP-A,-2.5805,-6.0448,-86.6766,-225.5565,-79.2929,-137.515,-235.9545,-67.2537,-11.5784
AAPL US Equity,APPLE INC, ,29.062,40.7496,41.1905,23.0727,17.8775,21.8821,26.4072,41.2253
AMAT US Equity,APPLIED MATERIALS INC,31.8502,32.1597,34.1579,29.1907,18.1875,14.135,19.1923,19.8788,13.8839
AAOI US Equity,APPLIED OPTOELECTRONICS INC,-10.3879,-4.3858,-9.3366,-10.1007,-8.0931,-9.0189,-9.736,101.3415,13.4071
AUVIQ US Equity,APPLIED UV INC, ,-11.2337,-62.2648, ,89.197,89.197,21.1372, , 
ALDS US Equity,APPLIFE DIGITAL SOLUTIONS IN,-7.5278,-4.8541,-6.0093,-6.617,-20.2584,-105.1731, , , 
ASFT US Equity,APPSOFT TECHNOLOGIES INC,-6.2836,-6.8385,-3.9549,-8.5019,-9.6259,-10.9507,-10.9882,-257.1125,-347.4105
SWRM US Equity,APPSWARM INC, , , , ,-25.4901, , , , 
APTY US Equity,APT SYSTEMS INC, , , , ,-2.6061, , , ,-2.6061
APTD LN Equity,APTITUDE SOFTWARE GROUP PLC,12.6111,10.0285,7.3996,27.1471,81.47,27.4325,17.0735,25.3432,20.6851
AHCD US Equity,ARCHIVALCD INC, , , , , , , , , 
ALJXR FP Equity,ARCHOS,3.216,-24.4545,-101.6923,-13.283,-1.6916,-64.5843,-28.9036,-4.4631,-4.6629
ARC LN Equity,ARCONTECH GROUP PLC, , , ,148.0575, , , , , 
ARGEO NO Equity,ARGEO ASA,-0.4205,-8.0371,-9.8681,-105.0884,34.1008,60.0029, , , 
ARGH CN Equity,ARGO CORP,-4.4552,-35.6157,-23.3896,-36.1569,-71.7412,-1030.7009, , , 
ANET US Equity,ARISTA NETWORKS INC, , , , , , ,101.2021,169.1626,77.6177
ARLO US Equity,ARLO TECHNOLOGIES INC, , , , , , , , , 
ARM US Equity,ARM HOLDINGS PLC-ADR, , , , , , , , , 
ARMM US Equity,ARMM INC, , , , , , , , , 
ARQQ US Equity,ARQIT QUANTUM INC,-110.7175,-297.338,-288.5294,-159.4866, , , , , 
3664 TT Equity,ARRAY INC,-0.8997,1.5417,-72.0756,-37.6269,-21.91,-31.3123, , , 
ARR NO Equity,ARRIBATEC GROUP ASA,-93.1694,-20.5375,-129.6112,-26.5865,-69.6031,-83.703,-42.5906,-38.9793,-33.4293
ARAI US Equity,ARRIVE AI INC,-2787.2869,-2492.386,-1511.599, , , , , , 
ARW US Equity,ARROW ELECTRONICS INC, , , , , , , , , 
A6T GR Equity,ARTEC TECHNOLOGIES AG,26.7357,-1.2859,-89.4469,-54.8378,-129.3461,-2375.9907,2.9048,-66.7058,-149.7074
AIP US Equity,ARTERIS INC,-129.4918,-166.5498,-324.2247, ,-75.54,25.0793, , , 
ARWY CN Equity,ARWAY CORP, , , , , , , , , 
TLIK GR Equity,ARZNEIWERK AG VIDA,-1.7504,-4.0756,-53.8415,-1781.5406,58.7311,21.2226,-3.3821,0.0422,-1.9931
ASAN US Equity,ASANA INC - CL A,-68.3191,-203.913,-14.4239,-4.8529,-1533.7307, , , , 
ASB PW Equity,ASBISC ENTERPRISES PLC,3.9578,4.0056,5.5801,6.699,4.8974,2.6097,2.1646,1.9121,1.8052
ASCN SW Equity,ASCOM HOLDING AG-REG,15.2,33.6667,23.3333,19.75,10,-16.75,29.5556,41.5,1.4444
ASTK DC Equity,ASETEK A/S,-16.202,8.4106,-9.2642,6.8938,95.8596,8.5902,126.2571,65.6429,259.3889
ASGN US Equity,ASGN INC,4.7341,5.4834,8.9216,9.3573,7.0831,5.8336,4.6477,8.1299,5.869
ASM NA Equity,ASM INTERNATIONAL NV,425.7617,165.7138,415.2561,244.2634,162.9198,214.4332,50.3921,60.542,75.0374
ASML NA Equity,ASML HOLDING NV,55.4895,59.2161,106.9194,123.6282,93.5681,76.2514,70.9402,42.4296,46.2763
ACG1V FH Equity,ASPOCOMP GROUP OYJ,-10.4815,-6.354,43.2885,57.5128,-0.4549,27.3629,24.2437,16.25,12.7778
APYI US Equity,ASPYRA INC, , , , ,-5.3053, , , , 
ASY FP Equity,ASSYSTEM,4.1186,5.9855,13.7143,15.5263,8.4,14.3684,27.6667,4.5862,65
ALAB US Equity,ASTERA LABS INC, , , , , , , , , 
ASTO US Equity,ASTRO COMMUNICATIONS INC, , , , , , , , , 
ALOT US Equity,ASTRONOVA INC,3.2614,3.2437,6.2866,2.5476,2.9455,9.9543,13.4627, , 
ASUR US Equity,ASURE SOFTWARE INC,-10.4854,-0.6979,-2.5478,-6.2866,-12.1634,-3.1488,-0.7356,-0.2162,0.6098
ATEA NO Equity,ATEA ASA,5.7685,5.6545,8.5429,10.8958,8.9895,6.3305,16.0465,18.1591,6.5728
ATEME FP Equity,ATEME SA,-2.9241,-2.5359,-0.385,1.8145,3.8978,25.2941,9.5108,25.7368,13.4224
ATYG US Equity,ATLAS TECHNOLOGY GROUP INC, , , , ,-20.5454, , , , 
ATOM US Equity,ATOMERA INC,-149.8915,-106.5825,-68.7294,-121.3203, , , , ,-3.7875
ATO FP Equity,ATOS SE,-7.0344,-9.8603,-6.5702,-39.5429,11.2069,7.2747,21.1333,32.4074,40.3366
AOF GR Equity,ATOSS SOFTWARE SE,187.3195,167.0123,15.6308,167.3291,66.7997,85.9473,67.7673,115.7345,115.7391
AUB FP Equity,AUBAY,136.9492,118.2374,169.2027,163.7301, , , , ,70.9882
AUUD US Equity,AUDDIA INC,-45.8933,-5.6166,-38.8634,-18.1678,-1.4282,-2.663,-1.9067, , 
AEYE US Equity,AUDIOEYE INC,-3.9236, ,-2607.25,-1292.75,-49.1931,-103.0244, , ,-6.6246
3ITN GR Equity,AUDIUS SE,32.8741,35.4506,70.8736,82.5556,32.3421,10.6222,9.2339,-17.3482,-2.1907
ATS AV Equity,AUSTRIA TECHNOLOGIE & SYSTEM,0.419,5.3073,7.0731,6.3793,3.6803,8.8541,6.2142,0.463,8.3453
ACAG GA Equity,AUSTRIACARD HOLDINGS AG,4.8001,5.1165,4.7246,6.3205,4.0399,2.8154, , , 
AHRO US Equity,AUTHENTIC HOLDINGS INC,-2.4664,-1.9188,-2.0869,-1.562,-2.0251,-1.0377,-3.0259,-15.2795,-6.3198
AUID US Equity,AUTHID INC,-300.1081,-9.6965,-16.3759,-29.1149,-9.2942, , , , 
ADSK US Equity,AUTODESK INC, , , , , , , , , 
AATC US Equity,AUTOSCOPE TECHNOLOGIES CORP,94.6308,66.8551,22.5211, ,86.8571, , , , 
AUTO NO Equity,AUTOSTORE HOLDINGS LTD,5.8553,-0.3831,7.1983,-0.9868,0.4795, , , , 
AV2 GR Equity,AVEMIO AG, , , , , , , , , 
AVEN SS Equity,AVENSIA AB,5.9135,-0.8378,-19.3298,23.6371,4.7497,28.7311,468.1731,203.4286,340.6829
AVPT US Equity,AVEPOINT INC, , ,-1026.65, , , , , , 
AVNW US Equity,AVIAT NETWORKS INC,8.3017,46.2782, , ,62.5556,13.4118,45.4138,-19.7,-263.9038
AVDX US Equity,AVIDXCHANGE HOLDINGS INC,-0.2273,-3.9575,-4.2112,-5.4075,-3.7385,-4.4646, , , 
AVSR US Equity,AVISTAR COMMUNICATIONS CORP, , , , ,-61.0098, , , , 
AVIX US Equity,AVIX TECHNOLOGIES INC, , , , ,-11.7722, , , , 
AVT US Equity,AVNET INC,2.985,4.7308,9.355,3.1452,-0.0377,2.713,2.2558,4.3246,6.2316
AVSALT SS Equity,AVSALT GROUP AB,-2793,-929.8347,-139009.8281,-38.1733,-139.7171,-63.3808,3.5196, , 
AWRE US Equity,AWARE INC/MASS, , , , , , , , , 
ACLS US Equity,AXCELIS TECHNOLOGIES INC,38.5928,49.7092,38.0848,26.334,11.1382,4.6954,11.7337,9.3423,3.2768
AXTI US Equity,AXT INC,-11.047,-14.1251,11.7218,60.5493,22.0112, , , , 
AIX NO Equity,AYFIE GROUP AS,-63.789,-48.6365,-82.5486,22.9241,-34.2394,-75.0809,-74.8327, , 
BEC IM Equity,B&C SPEAKERS SPA,26.94,27.355,64.3199,28.7402,14.7407,113.0368,112.7025,239.4237,273.65
DTD2 GR Equity,B+S BANKSYSTEME AG,7.4383,1.3905,2.5031,0.4674,-0.9279,-1.2071,9.7543,14.2581,3.2696
SCDA US Equity,B-SCADA INC, , , , , , , , , 
B3 SS Equity,B3 CONSULTING GROUP AB,1.4859,22.0769,46.6991,21.9143,8.3641,7.2207,17.765,21.7311,38.7
BLZE US Equity,BACKBLAZE INC-A,-12.6542,-15.2703,-11.2178,-5.1112,-1.2931,0.492, , , 
AO9 GR Equity,BACKBONE TECHNOLOGY AG-BR, , , , , , , , , 
BP/H CN Equity,BACKSTAGEPLAY INC, , , , , , , , , 
BUSER SS Equity,BAMBUSER AB,-9252.6152,-13524.1426,-2072.8455,-1710.8518,-1157.2909,-231.3877, , ,-213.0055
BAND US Equity,BANDWIDTH INC-CLASS A, , , , , , , , , 
BO DC Equity,BANG & OLUFSEN A/S,0.36,-4.1333,0.7077,0.3276,-11.9655,1.7879,11.0909,-11.6216,-18.5505
BGO LN Equity,BANGO PLC,-3.9476,-15.9783,-340.1,77.8571,43.1111,-45.7679,-51.9531,-75.6255,-86.2495
BANQ BB Equity,BANQUP GROUP,-1.3961,-4.6342,-3.3501,-22.503,-3.5104,-2.5572,-1.2889, , 
BAR BB Equity,BARCO N.V.,19.7327,49.888,45.4109,7.1053,-2.2046,58.9705,57.0978,15.3924,9.6438
BRGS US Equity,BARRISTER GLOBAL SVCS NTWK, , , , , , , , , 
BSL GR Equity,BASLER AG,-5.2265,-10.7998,27.6313,42.2849,24.1755,16.1229,47.848,31.6636,10.1722
BSSP US Equity,BASSLINE PRODUCTIONS INC, , , , , , , , , 
BESI NA Equity,BE SEMICONDUCTOR INDUSTRIES,11.7352,18.2949,24.1019,28.9713,12.624,9.0305,17.6794,37.5665,118.9367
BEAMMWB SS Equity,BEAMMWAVE-B AB,-23202348,-88197.2734,-524532.9375,-138617.1719, , , , , 
BC8 GR Equity,BECHTLE AG,14.1356,25.4518,55.0251,48.6552,37.9298,38.5149,61.5612,63.0341,57.5675
BKS LN Equity,BEEKS FINANCIAL CLOUD GROUP,4.2326,-0.7881,1.1324,-2.2843,5.0263,7.8158,5.8065,-7.6477,3.1389
BHE US Equity,BENCHMARK ELECTRONICS INC,4.064,3.4404,6.9853,6.2632,3.005,4.2835,5.5894,8.1686,8.1296
BSY US Equity,BENTLEY SYSTEMS INC-CLASS B,9.4093,5.5779,5.9508,7.3915,18.9751, , , , 
BSS GR Equity,BETA SYSTEMS SOFTWARE AG,2.4183,27.6237,60.0903,28.7927,36.2962,90.9468,54.8551,83.6126,64.1379
SCBTT SM Equity,BETTER CONSULTANTS SA,35.6214,9.1559, , , , , , , 
BEW CN Equity,BEWHERE HOLDINGS INC,25.6438,13.5435,7.52, , , , , , 
BYOC US Equity,BEYOND COMMERCE INC, , , , ,-0.8042, , , , 
BOIL CN Equity,BEYOND OIL LTD,-2.1967,-123.5,-28.0006, , , , , , 
BIG LN Equity,BIG TECHNOLOGIES PLC,8.7059,172.6947,465.0952,300.1915,22.4624,7.7447, , , 
BBAI US Equity,BIGBEAR.AI HOLDINGS INC,-5.2022,-1.5691,-7.6563,-10.1098, , , , , 
BIG FP Equity,BIGBEN INTERACTIVE,3.1422,3.0719,3.7991,15.6476,13.7992,22.496,17.578,11.9447,6.7597
BIGC US Equity,BIGCOMMERCE HOLDINGS-SER 1,-6.8888,-25.1193,-49.7054,-91.7186,-12.4708,-25.4262,-25.5071, , 
BIGG CN Equity,BIGG DIGITAL ASSETS INC,-1.1097, , , , , , , , 
BSGC US Equity,BIGSTRING CORP, , , , ,-67.37, , , , 
BILL US Equity,BILL HOLDINGS INC,-9.0796,-19.4549, ,-4.0474, , , , , 
MA10 GR Equity,BINECT AG,0.9973,14.8859,13.5232,6.0588, , , ,-778.0752,-4.7455
VISN/H CN Equity,BINOVI TECHNOLOGIES CORP, , ,-2206.3298,-639.0018,-785.9606, , , , 
BKYI US Equity,BIO-KEY INTERNATIONAL INC,-13.3811,-40.4376,-948.5402,-274.5475,-1.198,-12.6455, , , 
BIOEX SS Equity,BIOEXTRAX AB,-8769.5, , ,-3213.8318,-1958.7749,-994,-442.5, , 
BRGX US Equity,BIOREGENX INC,-78.3156,-17.8242, , , , , , , 
BTGN US Equity,BITCOIN GENERATION INC, , , , ,-29.0758, , , , 
BITTI FH Equity,BITTIUM OYJ,6.5011,-4.8629,1.3513,9.4119,6.3707,27.4844,27.9592,-71.7471,28.5506
BKTI US Equity,BK TECHNOLOGIES CORP,29.4286,-1.3513,-76.9514,-22.566,131, , , , 
BBBT US Equity,BLACK BIRD BIOTECH INC, , , , , , , , , 
BLKB US Equity,BLACKBAUD INC,-4.8622,1.1198,-0.7956,1.3834,2.1544,1.3166,3.7374,5.6359,6.4466
BB CN Equity,BLACKBERRY LTD, , , , , , , , , 
BIRD LN Equity,BLACKBIRD PLC, , , , , , , , , 
