Ticker,Name,Debt/Assets:2024,Debt/Assets:2023,Debt/Assets:2022,Debt/Assets:2021,Debt/Assets:2020,Debt/Assets:2019,Debt/Assets:2018,Debt/Assets:2017,Debt/Assets:2016
ADHC US Equity,AMERICAN DIVERSIFIED HOLDING, , , , , , , , , 
AGIN US Equity,AMERICAN GRAPHITE TECHNOLOGI, , , , , , , , , 
AMWK US Equity,AMERISTAR NETWORK INC, , , , , , , , , 
ATVK US Equity,AMERITEK VENTURES,14.5215, , , , , ,1240.0414, , 
AMT CN Equity,AMERITRUST FINANCIAL TECHNOL,22.1456,74.9204,28.2408,37.5737,32.7663,70.571, , , 
AMST US Equity,AMESITE INC,0,0,0,0,35.5077,0, ,0, 
AMIDO SS Equity,AMIDO AB,0,0,0,0.2215,0.5042,0.4712,3.4768,8.5034,7.0285
AMJT US Equity,AMJ GLOBAL TECHNOLOGY, , , , , , , , , 
AMKR US Equity,AMKOR TECHNOLOGY INC,18.7186,19.9623,21.045,21.8113,25.7643,33.8091,29.6369,30.2642,36.041
AMPG US Equity,AMPLITECH GROUP INC,10.6921,12.2374,12.7375,4.4523,79.7574,61.7946,15.3434,11.4849,8.9329
AMPL US Equity,AMPLITUDE INC-CLASS A,1.2523,1.885,2.6803,0,0,0, , , 
AMS SW Equity,AMS-OSRAM AG,36.3808,33.2072,34.19,35.2136,36.0634,49.8085,50.7476,38.5829,33.1899
ASYS US Equity,AMTECH SYSTEMS INC,14.8563,16.2515,8.9071,11.7335,10.153,4.3874,5.5781,4.4332,8.6389
ADI US Equity,ANALOG DEVICES INC,16.5222,15.1122,13.7956,13.6046,25.4954,25.672,30.9842,37.1362,21.733
ALY CN Equity,ANALYTIXINSIGHT INC,0,0.3273,0.5976,0.7326,3.3533,0.1312,0,0,0
ANDI US Equity,ANDIAMO CORP, , , , , , , , , 
ANDR US Equity,ANDREA ELECTRONICS CORP, , ,321.4054,229.738,215.1076,146.579,102.1248,60.8392,38.0136
ANKM US Equity,ANKAM,0, ,33.5538,0,0,0, , , 
ANON CN Equity,ANONYMOUS INTELLIGENCE COMPA,7.0705,2.671,2.2987,4.5077,733.9399,114.7263,159.9176,182.2704,91.3389
ANOT SS Equity,ANOTO GROUP AB,3.1999,16.9112,30.2285,17.4188,2.363,2.6696,2.7551,13.9531,14.6466
ANSS US Equity,ANSYS INC,10.7514,11.9857,13.2952,13.9265,15.8681,12.5743,0,0,0
ATEX US Equity,ANTERIX INC,1.6301,1.6682,2.0461,2.7943,3.2708,0,0,0.2025,0.3619
AAQL US Equity,ANTIAGING QUANTUM LIVING INC,13.3249,0,0, ,0,0,0, , 
ATSI SM Equity,APLICACIONES Y TRATAMIENTOS,19.2997,12.4116,15.4316, , , , , , 
APPF US Equity,APPFOLIO INC - A,6.662,10.9418,14.0587,14.2617,10.7813,32.5722,28.3457,0,0
APPN US Equity,APPIAN CORP-A,50.72,44.1996,30.9695,11.2769,11.3394,14.0178,0,0,19.467
AAPL US Equity,APPLE INC,32.6207,35.1492,37.5558,38.8949,37.7532,31.9178,31.303,30.8218,27.055
AMAT US Equity,APPLIED MATERIALS INC,19.1956,19.1903,21.8102,22.2769,25.5312,27.9279,30.1083,27.3135,21.4482
AAOI US Equity,APPLIED OPTOELECTRONICS INC,34.8901,31.1093,38.0946,32.9843,32.2212,30.4909,17.9755,10.9335,13.2869
AUVIQ US Equity,APPLIED UV INC, ,13.3846,21.8411,4.9346, ,16.6397,0.8891, , 
ALDS US Equity,APPLIFE DIGITAL SOLUTIONS IN,647.088,272.1927,148.8957,414.987,99.4101,12.1693,60.0872, , 
ASFT US Equity,APPSOFT TECHNOLOGIES INC,438161.375,4906787.5,6574320,93520.3047,113248.8281,32181.2402,15181.25,146.5492,45.3415
APTR SS Equity,APPSPOTR AB,0.3507,14.8574,10.7029,0,16.3138,23.5938,1.9664,3.166,0
SWRM US Equity,APPSWARM INC, , , , , , , , , 
APTY US Equity,APT SYSTEMS INC, , , , , , , , ,1022.7893
APTD LN Equity,APTITUDE SOFTWARE GROUP PLC,8.8193,9.5492,11.2918,11.0333,2.1007,2.6161,10.1291,12.6829,12.2874
AHCD US Equity,ARCHIVALCD INC, , , , , , , , , 
ALJXR FP Equity,ARCHOS,33.0035,44.1924,36.4926,48.1833,62.8437,47.3068,31.3745,25.6177,28.0716
ARC LN Equity,ARCONTECH GROUP PLC,5.0912,0.4464,2.2317,4.0173,6.0448,0,0,0,0
ARGEO NO Equity,ARGEO ASA,45.6742,35.1922,28.8279,3.5457,23.9373,13.9929, , , 
ARGH CN Equity,ARGO CORP,29.9442,51.329,64.7263,38.0325,27.3067,3.2858,0, , 
ANET US Equity,ARISTA NETWORKS INC,0.4247,0.658,0.9423,1.3397,1.9028,2.3672,1.2246,1.6089,2.3835
ARLO US Equity,ARLO TECHNOLOGIES INC,20.3609,7.4358,8.6219,7.505,7.109,6.0645,3.3523,0,0
ARM US Equity,ARM HOLDINGS PLC-ADR,2.7879,3.1896,4.0092, , , , , , 
ARMM US Equity,ARMM INC, , , , ,0,0,0, , 
ARQQ US Equity,ARQIT QUANTUM INC,3.7052,8.4201,6.3251,0, , , , , 
3664 TT Equity,ARRAY INC,12.2571,6.648,6.1622,6.4925,10.2281,6.4779,0,0,0
ARR NO Equity,ARRIBATEC GROUP ASA,16.4938,13.784,14.4952,12.4847,7.5434, ,31.3849,21.2051,209.2677
ARAI US Equity,ARRIVE AI INC,1.9318,4.3635,1.3498, , , , , , 
ARW US Equity,ARROW ELECTRONICS INC,15.5861,18.8337,18.6984,14.9256,15.175,19.996,19.5979,19.9878,19.6402
A6T GR Equity,ARTEC TECHNOLOGIES AG,5.3519,8.8656,11.8435,10.2223,10.3244,0,0.4273,4.3944,0
AIP US Equity,ARTERIS INC,5.6447,4.2714,1.6517,2.3347,0,0, , , 
ARWY CN Equity,ARWAY CORP,0,0,0, , , , , , 
TLIK GR Equity,ARZNEIWERK AG VIDA, ,96.4706,76.7205, ,0,6.5619,553.384,437.5955,706.8163
ASAN US Equity,ASANA INC - CL A,28.887,28.4345,36.152,80.1316,53.3996,0.0826, , , 
ASB PW Equity,ASBISC ENTERPRISES PLC,20.6914,20.9048,20.1668,19.9103,27.6449,22.0638,29.1093,26.0842,24.0219
ASCN SW Equity,ASCOM HOLDING AG-REG,0,0,4.9554,0,9.355,18.6741,9.1575,7.8397,4.5313
ASTK DC Equity,ASETEK A/S,24.6059,0.7904, ,4.3037,5.7835,7.9327,3.1519,3.7966,1.9143
ASGN US Equity,ASGN INC,32.0764,31.1798,31.2854,31.3292,33.9567,38.5463,40.9407,31.7775,36.536
ASM NA Equity,ASM INTERNATIONAL NV,0.6831,0.7939,0.7498,0.586,0.864,1.0471,0,0,0
ASML NA Equity,ASML HOLDING NV,9.7885,11.7082,11.8676,15.6985,17.8033,14.6609,15.2595,16.813,19.2925
ACG1V FH Equity,ASPOCOMP GROUP OYJ,24.9877,7.502,9.7764,13.6315,20.9735,19.6667,20.9693,8.4895,9.3363
APYI US Equity,ASPYRA INC, , , , , , , , , 
ASY FP Equity,ASSYSTEM,17.9645,14.7041,15.1068,17.2509,15.6352,16.1205,9.8191,0.7797,14.1424
ALAB US Equity,ASTERA LABS INC,0.2915,0,0, , , , , , 
ASTO US Equity,ASTRO COMMUNICATIONS INC, , , , , , , , , 
ALOT US Equity,ASTRONOVA INC,16.8404,22.1756,8.9505,15.8427,18.1016,16.4545,18.9236,0,0
ASUR US Equity,ASURE SOFTWARE INC,4.0613,2.3514,10.2927,9.5405,6.1739,10.6931,31.0058,37.3162,34.9976
ATEA NO Equity,ATEA ASA,10.4221,11.2906,10.7627,10.9235,11.0408,15.6315,5.2781,6.8589,9.1409
ATEME FP Equity,ATEME SA,31.1066,31.4656,26.5426,26.4769,25.1241,16.3858,14.6019,15.0253,16.6468
ATYG US Equity,ATLAS TECHNOLOGY GROUP INC, , , , , , , , , 
ATOM US Equity,ATOMERA INC,6.8123,15.1359,18.2498,18.1281,1.7566,0.9974,0,0,0
ATO FP Equity,ATOS SE,34.0893,48.4859,35.8302,34.7999,28.0576,29.0739,25.1112,14.4838,12.5997
AOF GR Equity,ATOSS SOFTWARE SE,9.7468,12.4829,16.5256,16.8042,18.5008,21.64,0,0,0
AUB FP Equity,AUBAY,4.4654,4.9015,3.7501,4.6179,7.0243,9.6741,5.9113,7.3381,7.4862
AUUD US Equity,AUDDIA INC,0.5361,68.7024,29.0591,0,514.818,493.173,351.9167, , 
AEYE US Equity,AUDIOEYE INC,24.313,29.2724,5.1498,3.2989,11.0606,10.5816,0.8932,0,0.5302
3ITN GR Equity,AUDIUS SE,6.9326,9.0856,9.549,0.3443,1.0902,0.0003,0.0004,38.4093,35.6978
ATS AV Equity,AUSTRIA TECHNOLOGIE & SYSTEM,45.3579,40.7457,36.1547,45.8018,42.822,40.1906,35.2247,41.2661,38.6048
ACAG GA Equity,AUSTRIACARD HOLDINGS AG,35.3922,36.9526,36.3527,42.6618,37.9473,43.7255, , , 
AHRO US Equity,AUTHENTIC HOLDINGS INC,39.3668,38.3653,291.1269,653.844,280.7277,224.9153,694.9994,546.5854,343.4316
AUID US Equity,AUTHID INC,1.6646,1.4562,83.6499,4.8745,46.9156,21.1496,10.8531,14.7901, 
ADSK US Equity,AUTODESK INC,26.4931,28.2475,35.5533,28.9101,41.1794,44.1449,38.555,31.0685,26.9741
AATC US Equity,AUTOSCOPE TECHNOLOGIES CORP,8.173,6.375,7.9479,7.9984,4.9337,0.9696,0,0,0
AUTO NO Equity,AUTOSTORE HOLDINGS LTD,23.8203,23.0697,22.4645,21.2682,34.7288,33.8789, , , 
AV2 GR Equity,AVEMIO AG, , ,0,0,0,0, , , 
AVEN SS Equity,AVENSIA AB,32.6102,36.5955,28.5079,8.8254,13.5225,14.3105,0,0,0
AVPT US Equity,AVEPOINT INC,3.1852,3.3259,4.0286,0,0,0, , , 
AVNW US Equity,AVIAT NETWORKS INC,9.749,0.7573,0.903,1.3412,7.0901,5.3194,5.767,5.8987,5.4181
AVDX US Equity,AVIDXCHANGE HOLDINGS INC,3.6083,5.7866,6.8185,8.459,24.5796,27.3634, , , 
AVSR US Equity,AVISTAR COMMUNICATIONS CORP, , , , , , , , , 
AVIX US Equity,AVIX TECHNOLOGIES INC, , , , , , , , , 
AVT US Equity,AVNET INC,25.6137,26.457,17.9599,16.947,21.3675,20.0881,17.2411,18.3443,22.1695
AVSALT SS Equity,AVSALT GROUP AB,0,0,17.121,0,4.2589,0,0,0, 
AWRE US Equity,AWARE INC/MASS,9.9522,9.6661,8.8236,0,0,0,0,0,0
ACLS US Equity,AXCELIS TECHNOLOGIES INC,5.4468,5.9196,5.7922,7.4965,8.4324,9.897,8.7078,0,0
AXTI US Equity,AXT INC,14.6699,15.5366,13.2096,4.975,4.4268,3.9226,0,0,0.3728
AIX NO Equity,AYFIE GROUP AS,0,0,3.6391,3.319,4.0992,25.2121,0, , 
BEC IM Equity,B&C SPEAKERS SPA,20.0781,25.761,29.7624,35.7393,39.2099,34.8115,31.4524,37.8398,8.9883
DTD2 GR Equity,B+S BANKSYSTEME AG,22.9508,27.2731,26.7328,30.6326,34.2908,20.383,21.2912,22.1115,32.2585
SCDA US Equity,B-SCADA INC, , , , , , , , , 
B3 SS Equity,B3 CONSULTING GROUP AB,34.2257,27.0313,16.0566,18.6738,23.6993,27.3456,18.6729,10.9208,7.8363
BLZE US Equity,BACKBLAZE INC-A,27.4914,31.7655,29.8351,20.3251,56.6377,43.3879, , , 
AO9 GR Equity,BACKBONE TECHNOLOGY AG-BR, , , , , , ,0, ,0
BP/H CN Equity,BACKSTAGEPLAY INC,0,0,0,0,0,0,0,0,0
BUSER SS Equity,BAMBUSER AB,0,0,0,0,0.1097,3.5645,12.0174,0,0
BAND US Equity,BANDWIDTH INC-CLASS A,50.9102,58.5385,53.0444,47.261,34.2365,7.2475,0,0.088,64.0804
BO DC Equity,BANG & OLUFSEN A/S,26.0775,24.7799,9.9285,9.051,13.964,2.9245,5.8199,6.297,6.6954
BGO LN Equity,BANGO PLC, ,12.5658,3.6931,0.2492,0.5475,5.4493,1.3868,1.9872,0.6754
BAR BB Equity,BARCO N.V.,8.4559,4.278,3.7957,4.0375,4.432,4.4878,3.6349,4.8565,6.9354
BRGS US Equity,BARRISTER GLOBAL SVCS NTWK, , , , , , , , , 
BSL GR Equity,BASLER AG,35.8394,34.5155,28.4706,23.7131,23.3648,26.1625,25.1616,24.4309,25.7963
BSSP US Equity,BASSLINE PRODUCTIONS INC, , , , , , , , , 
BESI NA Equity,BE SEMICONDUCTOR INDUSTRIES,44.1247,35.5986,30.2051,27.3133,44.9752,41.5017,35.7373,32.0296,23.265
BEAMMWB SS Equity,BEAMMWAVE-B AB,0,0,0,0,0, , , , 
BC8 GR Equity,BECHTLE AG,19.2601,19.3006,15.1731,16.2008,20.773,21.3429,19.4119,8.9267,4.8442
BKS LN Equity,BEEKS FINANCIAL CLOUD GROUP,5.8467,12.2695,13.1428,19.0199,27.8781,8.4758,4.8859,0,0
BHE US Equity,BENCHMARK ELECTRONICS INC,17.9267,20.662,19.0286,12.3318,12.9288,12.9556,8.1099,10.0355,11.1899
BSY US Equity,BENTLEY SYSTEMS INC-CLASS B,41.9623,47.3116,57.5998,55.9876,26.1691,23.5019,28.0155, , 
BSS GR Equity,BETA SYSTEMS SOFTWARE AG,5.3658,15.54,9.0566,11.6881,15.1915,8.7732,0,0,0
SCBTT SM Equity,BETTER CONSULTANTS SA,35.4472,18.5391, , , , , , , 
BEW CN Equity,BEWHERE HOLDINGS INC,2.971,4.6622,6.3694,0,0,0.1389,0,0,0
BYOC US Equity,BEYOND COMMERCE INC, , , , , , , , , 
BOIL CN Equity,BEYOND OIL LTD,1.0678,0.8193,3.7384,0,0,0, , , 
BIG LN Equity,BIG TECHNOLOGIES PLC,1.2401,1.373,0.6247,0.4198,1.0945,17.1157,0, , 
BBAI US Equity,BIGBEAR.AI HOLDINGS INC,42.5888,81.2746,102.1305,50.7659,32.8383, , , , 
BIG FP Equity,BIGBEN INTERACTIVE,32.2722,32.5022,30.7786,27.4931,18.0625,17.2729,11.7394,10.4757,17.5796
BIGC US Equity,BIGCOMMERCE HOLDINGS-SER 1,64.8225,78.889,73.855,62.724,5.728,105.7506,41.2172, , 
BIGG CN Equity,BIGG DIGITAL ASSETS INC,0.0197,0.0472,0.0533,0.0399,0,0.9859, , , 
BSGC US Equity,BIGSTRING CORP, , , , , , , , , 
BILL US Equity,BILL HOLDINGS INC,10.6424,19.8454,20.0497,18.237,0.0957,0.0451,0.9874, , 
MA10 GR Equity,BINECT AG,4.5064,5.8706,6.7098,0,1.3905,0, ,0,0
VISN/H CN Equity,BINOVI TECHNOLOGIES CORP, , ,0,0,3.0703,0,0,0,0
BKYI US Equity,BIO-KEY INTERNATIONAL INC,19.0861,5.0169,27.507,1.4866,3.2436,112.8082,0,0,0
BIOEX SS Equity,BIOEXTRAX AB,0,0,0,0,0,0,0,0,0
BRGX US Equity,BIOREGENX INC,425.588,171.9776,338.1291,156.5411,40.7941,0,0, , 
BTGN US Equity,BITCOIN GENERATION INC, , , , , , , , , 
BITTI FH Equity,BITTIUM OYJ,12.6771,14.3144,13.2297,13.3993,14.2508,14.6502,1.145,0.8736,2.0575
BKTI US Equity,BK TECHNOLOGIES CORP,2.4952,16.8637,17.8776,10.0387,9.4852,8.9114,0,0,0
BBBT US Equity,BLACK BIRD BIOTECH INC, , , , , , , , , 
BLKB US Equity,BLACKBAUD INC,44.6229,28.3781,30.4636,34.2822,27.2773,29.2282,23.966,24.3749,26.1327
BB CN Equity,BLACKBERRY LTD,18.0287,4.5265,23.4125,29.9148,19.4959,16.7591,20.6878,17.9308,23.0755
BIRD LN Equity,BLACKBIRD PLC,0,0,0.2377,0.8961,3.9069,3.2756,0,0,0
BL US Equity,BLACKLINE INC,50.2238,55.2768,72.0969,62.3698,37.5872,39.4151,0,0.0961,0.2359
BLN CN Equity,BLACKLINE SAFETY CORP,1.9962,2.2856,2.473,2.171,1.761,0.4917,0.691,3.3628,5.6838
BZAI US Equity,BLAIZE HOLDINGS INC,186.7616,0,0,0.0493, , , , , 
BCDS US Equity,BLAQCLOUDS INC, , , , , , , , , 
BLND US Equity,BLEND LABS INC-A,2.1527,72.6446,53.6045,20.8817,7.6869,0, , , 
BITE CN Equity,BLENDER BITES LTD, ,0,0, ,6.6601,0,0, , 
BITK CN Equity,BLOCKCHAINK2 CORP,20.0106,41.3365,37.2383,4.5737,2.0545,0,0, ,0
