Ticker,Name,AZS
 ,Investable Universe (1956),-365.45
,,
ONE CN Equity,01 COMMUNIQUE LABORATORY INC,-35.0641
ONEM US Equity,1LIFE HEALTHCARE INC,0.8774
ISOL US Equity,1MAGE SOFTWARE INC,-45.8482
SPA LN Equity,1SPATIAL PLC,0.2744
DDD US Equity,3D SYSTEMS CORP,0.9983
4GBL LN Equity,4GLOBAL PLC, 
2448602D US Equity,6D GLOBAL TECHNOLOGIES INC,8.31
74SW FP Equity,74SOFTWARE SA,2.9439
EGHT US Equity,8X8 INC,-1.0919
ATEN US Equity,A10 NETWORKS INC,4.0824
SPERR SS Equity,AB SPERRUNG, 
ABXX CN Equity,ABAXX TECHNOLOGIES IN,34.1744
ABBY US Equity,ABBY INC, 
ABZT US Equity,ABLAZE TECHNOLOGIES INC, 
ABST CN Equity,ABSOLUTE SOFTWARE CORPORATIO,-0.3494
AECX US Equity,ACADIA ENERGY CORP, 
ACAST SS Equity,ACAST AB,1.7412
ACNV US Equity,ACCELERA INNOVATIONS INC, 
AXE CN Equity,ACCELEWARE LTD,-33.4675
ACN US Equity,ACCENTURE PLC-CL A,8.7693
AWWC US Equity,ACCESS WORLDWIDE COMM INC,-6.3362
ACSO LN Equity,ACCESSO TECHNOLOGY GROUP PLC,7.0826
ACCON SS Equity,ACCONEER AB,31.9922
ACIW US Equity,ACI WORLDWIDE INC,3.1287
ACMR US Equity,ACM RESEARCH INC-CLASS A,2.4603
ACFN US Equity,ACORN ENERGY INC,-21.1399
EOS FP Equity,ACTEOS,0.661
AOM LN Equity,ACTIVEOPS PLC,3.745
MLACT FP Equity,ACTIVIUM GROUP,1.0242
ACT LN Equity,ACTUAL EXPERIENCE PLC,-7.0668
ACVA US Equity,ACV AUCTIONS INC-A,1.8703
ADEA US Equity,ADEIA INC,0.7596
ADN1 GR Equity,ADESSO SE, 
ADMCM FH Equity,ADMICOM OYJ,13.6135
ADBE US Equity,ADOBE INC,13.3297
ADTN US Equity,ADTRAN HOLDINGS INC,2.436
ADV GR Equity,ADTRAN NETWORKING SE,3.8533
ABT GR Equity,ADVANCED BITCOIN TECHNOLOGIE, 
ABX GR Equity,ADVANCED BLOCKCHAIN AG,6.8487
AMD US Equity,ADVANCED MICRO DEVICES,7.1494
APWL US Equity,ADVANCED POWERLINE TECHNOLOG, 
ADVCD US Equity,ADVANT-E CORPORATION,11.7667
ADVE SS Equity,ADVENICA AB,2.9325
AEHR US Equity,AEHR TEST SYSTEMS,12.6956
ALMU US Equity,AELUMA INC, 
AERS US Equity,AERIUS INC, 
AMEN SM Equity,AETERNAL MENTIS,6.3183
AFRN LN Equity,AFERIAN PLC,6.0723
AFFN US Equity,AFFINITY NETWORKS INC, 
AFTM US Equity,AFTERMASTER INC, 
AIFS US Equity,AGENT INFORMATION SOFTWARE I, 
AGIL SM Equity,AGILE CONTENT SA,1.7069
AGILQ US Equity,AGILETHOUGHT INC,-0.1657
AGILC DC Equity,AGILLIC A/S,-1.1814
AGYS US Equity,AGILYSYS INC,12.736
AIFORIA FH Equity,AIFORIA TECHNOLOGIES OYJ,11.6971
AIRG US Equity,AIRGAIN INC,1.8332
IQ CN Equity,AIRIQ INC, 
MIMOQ US Equity,AIRSPAN NETWORKS HOLDINGS IN,-10.6612
AISX CN Equity,AISIX SOLUTIONS INC,-20.2274
AIXIAB SS Equity,AIXIA GROUP AB,5.4218
AIXA GR Equity,AIXTRON SE,10.2884
AKAM US Equity,AKAMAI TECHNOLOGIES INC,3.9015
AKTSQ US Equity,AKOUSTIS TECHNOLOGIES INC,-1.6895
NMI GR Equity,ALADDIN HEALTHCARE TECHNOLOG,-26.969
ALAN US Equity,ALANCO TECHNOLOGIES INC, 
ALMY US Equity,ALCHEMY CREATIVE INC, 
ALFA LN Equity,ALFA FINANCIAL SOFTWARE HOLD,10.6358
ALFIQ US Equity,ALFI INC,0.5514
ALFO IM Equity,ALFONSINO SPA, 
RIME US Equity,ALGORHYTHM HOLDINGS INC,2.0505
ALW IM Equity,ALGOWATT SPA,-0.1946
ALHC US Equity,ALIGNMENT HEALTHCARE INC,3.2423
ALYA CN Equity,ALITHYA GROUP INC-CLASS A,1.9911
ALJJ US Equity,ALJ REGIONAL HOLDINGS INC/OL,3.9674
ALKT US Equity,ALKAMI TECHNOLOGY INC,4.2973
A1OS GR Equity,ALL FOR ONE GROUP SE,3.5043
ATMH US Equity,ALL THINGS MOBILE ANALYTIC, 
ADGL US Equity,ALLDIGITAL HOLDINGS INC,-9.9431
ALGM US Equity,ALLEGRO MICROSYSTEMS INC,17.4398
ADSV US Equity,ALLIED SECURITY INNOVATIONS,-128.0634
AIW IM Equity,ALMAWAVE SPA,3.4898
AOSL US Equity,ALPHA & OMEGA SEMICONDUCTOR,3.0461
AWE LN Equity,ALPHAWAVE IP GROUP PLC,22.1927
NPA/H CN Equity,ALPHINAT INC, 
ALTR US Equity,ALTAIR ENGINEERING INC - A,4.7434
AYX US Equity,ALTERYX INC - CLASS A,1.29
ALC SM Equity,ALTIA CONSULTORES SA,7.5393
ATGN US Equity,ALTIGEN COMMUNICATIONS INC,-1.8006
ALT LN Equity,ALTITUDE GROUP PLC,3.4962
ALAMA FP Equity,AMA CORP PLC,1.3491
AMBA US Equity,AMBARELLA INC,14.2147
DOX US Equity,AMDOCS LTD,6.6469
ADHC US Equity,AMERICAN DIVERSIFIED HOLDING, 
AGIN US Equity,AMERICAN GRAPHITE TECHNOLOGI, 
AMWK US Equity,AMERISTAR NETWORK INC, 
ATVK US Equity,AMERITEK VENTURES,-313.9126
AMST US Equity,AMESITE INC,-1.3218
AMIDO SS Equity,AMIDO AB, 
AMJT US Equity,AMJ GLOBAL TECHNOLOGY, 
AMKR US Equity,AMKOR TECHNOLOGY INC,2.8976
AMPD CN Equity,AMPD VENTURES INC, 
AMPG US Equity,AMPLITECH GROUP INC,2.1525
AMPL US Equity,AMPLITUDE INC-CLASS A,7.3861
AMS SW Equity,AMS-OSRAM AG,1.3873
AMTE LN Equity,AMTE POWER PLC, 
ASYS US Equity,AMTECH SYSTEMS INC,3.8991
ALY CN Equity,ANALYTIXINSIGHT INC,49.5222
ANDI US Equity,ANDIAMO CORP, 
ANDR US Equity,ANDREA ELECTRONICS CORP,-128.4776
ANON CN Equity,ANONYMOUS INTELLIGENCE COMPA,3.2279
ANOT SS Equity,ANOTO GROUP AB,-27.3125
ANSS US Equity,ANSYS INC,13.1155
ATEX US Equity,ANTERIX INC,-1.3902
AAQL US Equity,ANTIAGING QUANTUM LIVING INC, 
ATSI SM Equity,APLICACIONES Y TRATAMIENTOS, 
APPF US Equity,APPFOLIO INC - A,21.3913
APGTQ US Equity,APPGATE INC,-5.3041
APPN US Equity,APPIAN CORP-A,5.3271
AAPL US Equity,APPLE INC,6.9235
AMAT US Equity,APPLIED MATERIALS INC,8.1862
AAOI US Equity,APPLIED OPTOELECTRONICS INC,-0.1811
AUVIQ US Equity,APPLIED UV INC,-2.0691
ALDS US Equity,APPLIFE DIGITAL SOLUTIONS IN,-109.9324
ASFT US Equity,APPSOFT TECHNOLOGIES INC,-106951.0864
APTR SS Equity,APPSPOTR AB,-13.4236
APTY US Equity,APT SYSTEMS INC, 
APTD LN Equity,APTITUDE SOFTWARE GROUP PLC,3.6937
AHCD US Equity,ARCHIVALCD INC, 
ALJXR FP Equity,ARCHOS,0.4604
ARC LN Equity,ARCONTECH GROUP PLC,5.7717
ARGEO NO Equity,ARGEO ASA, 
ARGH CN Equity,ARGO CORP,-0.5418
