Ticker,Name,AZS
 ,Investable Universe (2093),-310.53
,,
ONE CN Equity,01 COMMUNIQUE LABORATORY INC,-76.4582
ISOL US Equity,1MAGE SOFTWARE INC,-45.8482
SPA LN Equity,1SPATIAL PLC,0.2524
AL2SI FP Equity,2CRSI SA, 
DDD US Equity,3D SYSTEMS CORP,0.2855
4GBL LN Equity,4GLOBAL PLC,8.4191
74SW FP Equity,74SOFTWARE SA,2.3605
EGHT US Equity,8X8 INC,-0.6147
ATEN US Equity,A10 NETWORKS INC,4.8225
AAT IM Equity,AA TECH SPA, 
SPERR SS Equity,AB SPERRUNG,1.2249
ABXX CN Equity,ABAXX TECHNOLOGIES IN,13.826
ABBY US Equity,ABBY INC, 
ABLD FP Equity,ABL DIAGNOSTICS, 
ABZT US Equity,ABLAZE TECHNOLOGIES INC, 
AECX US Equity,ACADIA ENERGY CORP, 
ACAST SS Equity,ACAST AB,1.6827
ACNV US Equity,ACCELERA INNOVATIONS INC, 
ATHC US Equity,ACCELERATED TECHNOLOGIES HOL,-42.1839
AXE CN Equity,ACCELEWARE LTD,-62.9078
ACN US Equity,ACCENTURE PLC-CL A,9.1089
ACCS US Equity,ACCESS NEWSWIRE INC,6.02
ACSO LN Equity,ACCESSO TECHNOLOGY GROUP PLC,5.8337
ACCON SS Equity,ACCONEER AB,3.7227
ACIW US Equity,ACI WORLDWIDE INC,3.1581
ACMR US Equity,ACM RESEARCH INC-CLASS A,2.4899
ACFN US Equity,ACORN ENERGY INC,-20.6345
EOS FP Equity,ACTEOS,1.0079
AOM LN Equity,ACTIVEOPS PLC,3.0108
MLACT FP Equity,ACTIVIUM GROUP,0.6369
ACRM LN Equity,ACUITY RM GROUP PLC,-9.5893
ACVA US Equity,ACV AUCTIONS INC-A,3.0494
ANODB SS Equity,ADDNODE GROUP AB, 
ADEA US Equity,ADEIA INC,3.0374
ADN1 GR Equity,ADESSO SE,2.8555
ALARF FP Equity,ADEUNIS RF SACA,1.6125
ADMCM FH Equity,ADMICOM OYJ,20.422
ADBE US Equity,ADOBE INC,18.3646
ADTN US Equity,ADTRAN HOLDINGS INC,1.5515
ADV GR Equity,ADTRAN NETWORKING SE,4.6642
ABT GR Equity,ADVANCED BITCOIN TECHNOLOGIE, 
ABX GR Equity,ADVANCED BLOCKCHAIN AG,3.3291
AMD US Equity,ADVANCED MICRO DEVICES,9.397
APWL US Equity,ADVANCED POWERLINE TECHNOLOG, 
ADGO US Equity,ADVANTEGO CORP,-12331.981
ADVE SS Equity,ADVENICA AB,2.489
AEHR US Equity,AEHR TEST SYSTEMS,26.3363
ALMU US Equity,AELUMA INC, 
AERT US Equity,AERIES TECHNOLOGY INC,2.4951
AERS US Equity,AERIUS INC, 
AMEN SM Equity,AETERNAL MENTIS,3.4919
AFRN LN Equity,AFERIAN PLC,-0.55
AFFN US Equity,AFFINITY NETWORKS INC, 
AFTM US Equity,AFTERMASTER INC, 
AIFS US Equity,AGENT INFORMATION SOFTWARE I, 
AGIL SM Equity,AGILE CONTENT SA,2.1061
AGILQ US Equity,AGILETHOUGHT INC,-5.7874
AGILC DC Equity,AGILLIC A/S,2.098
AGYS US Equity,AGILYSYS INC,11.8783
AIFORIA FH Equity,AIFORIA TECHNOLOGIES OYJ,4.5305
AINO SS Equity,AINO HEALTH AB, 
AIRG US Equity,AIRGAIN INC,0.1157
IQ CN Equity,AIRIQ INC,-10.0989
AISP US Equity,AIRSHIP AI HOLDINGS INC,1.2757
MIMOQ US Equity,AIRSPAN NETWORKS HOLDINGS IN,-25.0458
AISX CN Equity,AISIX SOLUTIONS INC, 
AIXIAB SS Equity,AIXIA GROUP AB,5.4218
AIXA GR Equity,AIXTRON SE,12.7646
AKAM US Equity,AKAMAI TECHNOLOGIES INC,3.4752
AKTSQ US Equity,AKOUSTIS TECHNOLOGIES INC,-5.3775
NMI GR Equity,ALADDIN HEALTHCARE TECHNOLOG,-26.969
ALMY US Equity,ALCHEMY CREATIVE INC, 
