Ticker,Name,AZS
 ,Investable Universe (1784),-231.99
,,
ONE CN Equity,01 COMMUNIQUE LABORATORY INC, 
ISOL US Equity,1MAGE SOFTWARE INC,-45.8482
SPA LN Equity,1SPATIAL PLC,1.5109
DRWIQ US Equity,3517667 CANADA INC,-6.177
DDD US Equity,3D SYSTEMS CORP,2.302
MLOVE FP Equity,4SERVICE CLOUD TECH AG, 
BARZ US Equity,5BARZ INTERNATIONAL INC,-77.6013
2448602D US Equity,6D GLOBAL TECHNOLOGIES INC,8.31
6PM MV Equity,6PM HOLDINGS PLC,2.9471
74SW FP Equity,74SOFTWARE SA,3.4858
EGHT US Equity,8X8 INC,21.5192
ATEN US Equity,A10 NETWORKS INC,3.0319
SPERR SS Equity,AB SPERRUNG, 
ABXX CN Equity,ABAXX TECHNOLOGIES IN, 
ABBY US Equity,ABBY INC, 
ABZT US Equity,ABLAZE TECHNOLOGIES INC, 
ABST CN Equity,ABSOLUTE SOFTWARE CORPORATIO,-0.8976
ACIA US Equity,ACACIA COMMUNICATIONS INC,14.2233
AECX US Equity,ACADIA ENERGY CORP, 
ACANB SS Equity,ACANDO AB,7.3738
ACNV US Equity,ACCELERA INNOVATIONS INC, 
AXE CN Equity,ACCELEWARE LTD,-14.2357
ACLP US Equity,ACCELPATH INC,-72.8045
ACN US Equity,ACCENTURE PLC-CL A,7.8365
AWWC US Equity,ACCESS WORLDWIDE COMM INC,-6.3362
ACSO LN Equity,ACCESSO TECHNOLOGY GROUP PLC,11.7377
ACMM US Equity,ACCOM INC, 
ACIW US Equity,ACI WORLDWIDE INC,5.5866
ACMA US Equity,ACM CORP, 
ACFN US Equity,ACORN ENERGY INC,-15.9295
EOS FP Equity,ACTEOS, 
MLACT FP Equity,ACTIVIUM GROUP, 
ACTA US Equity,ACTUA CORP,-33.8981
ACT LN Equity,ACTUAL EXPERIENCE PLC,97.7212
ADN1 GR Equity,ADESSO SE, 
ADBE US Equity,ADOBE INC,9.3759
ADTN US Equity,ADTRAN HOLDINGS INC,6.7089
9990711D US Equity,ADTRAN INC, 
ADV GR Equity,ADTRAN NETWORKING SE,2.7554
AMD US Equity,ADVANCED MICRO DEVICES,-0.8235
APWL US Equity,ADVANCED POWERLINE TECHNOLOG, 
ADVCD US Equity,ADVANT-E CORPORATION,11.7667
ADVE SS Equity,ADVENICA AB,4.2341
AECS US Equity,AEC HOLDINGS CORP, 
AEHR US Equity,AEHR TEST SYSTEMS,-7.8662
AGHC US Equity,AEON GLOBAL HEALTH CORP,1.3082
AERS US Equity,AERIUS INC, 
1918511D US Equity,AEROHIVE NETWORKS INC,0.2724
AFRN LN Equity,AFERIAN PLC,4.7519
AFE1V FH Equity,AFFECTO OYJ,4.5985
AFFN US Equity,AFFINITY NETWORKS INC, 
AFTM US Equity,AFTERMASTER INC,-63.665
AGNUQ US Equity,AG&E HOLDINGS INC, 
AIFS US Equity,AGENT INFORMATION SOFTWARE I, 
AGIL SM Equity,AGILE CONTENT SA, 
AGYS US Equity,AGILYSYS INC,6.2082
AJX CN Equity,AGJUNCTION INC,5.0444
AIRG US Equity,AIRGAIN INC, 
IQ CN Equity,AIRIQ INC, 
2554116D US Equity,AIRSPAN NETWORKS INC,-6.9705
2371225D US Equity,AIRTOUCH COMMUNICATIONS INC, 
AIXA GR Equity,AIXTRON SE,4.9606
AKAM US Equity,AKAMAI TECHNOLOGIES INC,5.8001
NMI GR Equity,ALADDIN HEALTHCARE TECHNOLOG, 
ALAN US Equity,ALANCO TECHNOLOGIES INC,-37.4471
ALMY US Equity,ALCHEMY CREATIVE INC, 
RIME US Equity,ALGORHYTHM HOLDINGS INC, 
ALW IM Equity,ALGOWATT SPA,1.2185
EDGW US Equity,ALITHYA USA INC,4.1918
ALJJ US Equity,ALJ REGIONAL HOLDINGS INC/OL,1.0922
A1OS GR Equity,ALL FOR ONE GROUP SE,5.9285
ATMH US Equity,ALL THINGS MOBILE ANALYTIC, 
ADGL US Equity,ALLDIGITAL HOLDINGS INC,-9.9431
ADSV US Equity,ALLIED SECURITY INNOVATIONS,-128.0634
AOSL US Equity,ALPHA & OMEGA SEMICONDUCTOR,4.4457
ARGP LN Equity,ALPHA RETURNS GROUP PLC,18.0663
NPA/H CN Equity,ALPHINAT INC,-29.7437
ALTEC GA Equity,ALTEC HOLDINGS S.A. IT & COM,-37.3215
TBS IM Equity,ALTHEA SPA/TRIESTE,1.5742
ALC SM Equity,ALTIA CONSULTORES SA,10.2842
ATGN US Equity,ALTIGEN COMMUNICATIONS INC, 
ALT LN Equity,ALTITUDE GROUP PLC,0.629
TXA GR Equity,AMATECH AG, 
AMBA US Equity,AMBARELLA INC,22.2872
2557527D US Equity,AMBER ROAD INC,-1.7175
ABHI US Equity,AMBICOM HOLDINGS INC, 
DOX US Equity,AMDOCS LTD,6.9465
ADHC US Equity,AMERICAN DIVERSIFIED HOLDING, 
AGIN US Equity,AMERICAN GRAPHITE TECHNOLOGI, 
AMWK US Equity,AMERISTAR NETWORK INC, 
ATVK US Equity,AMERITEK VENTURES, 
AMJT US Equity,AMJ GLOBAL TECHNOLOGY, 
AMKR US Equity,AMKOR TECHNOLOGY INC,1.4499
AMPG US Equity,AMPLITECH GROUP INC, 
AMS SW Equity,AMS-OSRAM AG,3.9927
ASYS US Equity,AMTECH SYSTEMS INC,1.687
ALY CN Equity,ANALYTIXINSIGHT INC,-11.3495
ANDI US Equity,ANDIAMO CORP, 
ANDR US Equity,ANDREA ELECTRONICS CORP,-15.72
ALANV FP Equity,ANEVIA SA,-3.409
ANOT SS Equity,ANOTO GROUP AB,-9.3106
ANPL US Equity,ANPULO FOOD DEVELOPMENT INC, 
ANSS US Equity,ANSYS INC,14.351
ATEX US Equity,ANTERIX INC,17.2768
