Ticker,Name,AZS
 ,Investable Universe (1826),-240.67
,,
ONE CN Equity,01 COMMUNIQUE LABORATORY INC,-111.1827
ONEM US Equity,1LIFE HEALTHCARE INC,4.8272
ISOL US Equity,1MAGE SOFTWARE INC,-45.8482
SPA LN Equity,1SPATIAL PLC,-1.1765
TTEZ US Equity,3AM TECHNOLOGIES INC, 
DDD US Equity,3D SYSTEMS CORP,-0.616
2448602D US Equity,6D GLOBAL TECHNOLOGIES INC,8.31
74SW FP Equity,74SOFTWARE SA,2.9162
EGHT US Equity,8X8 INC,0.8799
ATEN US Equity,A10 NETWORKS INC,1.9552
SPERR SS Equity,AB SPERRUNG, 
ABBY US Equity,ABBY INC, 
ABZT US Equity,ABLAZE TECHNOLOGIES INC, 
ACIA US Equity,ACACIA COMMUNICATIONS INC,13.4899
AECX US Equity,ACADIA ENERGY CORP, 
ACNV US Equity,ACCELERA INNOVATIONS INC, 
AXE CN Equity,ACCELEWARE LTD,-7.6794
ACN US Equity,ACCENTURE PLC-CL A,7.9489
AWWC US Equity,ACCESS WORLDWIDE COMM INC,-6.3362
ACSO LN Equity,ACCESSO TECHNOLOGY GROUP PLC,-0.0464
ACCON SS Equity,ACCONEER AB,40.7869
ACIW US Equity,ACI WORLDWIDE INC,3.5253
ACMR US Equity,ACM RESEARCH INC-CLASS A,8.6582
ACFN US Equity,ACORN ENERGY INC, 
EOS FP Equity,ACTEOS,0.8785
MLACT FP Equity,ACTIVIUM GROUP,3.5253
ACT LN Equity,ACTUAL EXPERIENCE PLC,-2.647
ADEA US Equity,ADEIA INC,1.7357
ADN1 GR Equity,ADESSO SE, 
ADMCM FH Equity,ADMICOM OYJ,65.6552
ADBE US Equity,ADOBE INC,17.1765
ADTN US Equity,ADTRAN HOLDINGS INC,5.4133
9990711D US Equity,ADTRAN INC, 
ADV GR Equity,ADTRAN NETWORKING SE,2.6107
ABT GR Equity,ADVANCED BITCOIN TECHNOLOGIE, 
ABX GR Equity,ADVANCED BLOCKCHAIN AG, 
AMD US Equity,ADVANCED MICRO DEVICES,18.9047
APWL US Equity,ADVANCED POWERLINE TECHNOLOG, 
ADVCD US Equity,ADVANT-E CORPORATION,11.7667
ADVE SS Equity,ADVENICA AB,-2.363
AEHR US Equity,AEHR TEST SYSTEMS,-0.1012
AGHC US Equity,AEON GLOBAL HEALTH CORP,-19.8737
AERS US Equity,AERIUS INC, 
AFRN LN Equity,AFERIAN PLC,6.4454
AFFN US Equity,AFFINITY NETWORKS INC, 
AFTM US Equity,AFTERMASTER INC, 
AIFS US Equity,AGENT INFORMATION SOFTWARE I, 
AGIL SM Equity,AGILE CONTENT SA,3.5735
AGILQ US Equity,AGILETHOUGHT INC, 
AGILC DC Equity,AGILLIC A/S,0.6636
AGYS US Equity,AGILYSYS INC,7.3013
AJX CN Equity,AGJUNCTION INC,3.2912
AIRG US Equity,AIRGAIN INC,13.1315
IQ CN Equity,AIRIQ INC, 
MIMOQ US Equity,AIRSPAN NETWORKS HOLDINGS IN, 
2554116D US Equity,AIRSPAN NETWORKS INC,-6.9705
AISX CN Equity,AISIX SOLUTIONS INC,2.4549
AIXIAB SS Equity,AIXIA GROUP AB,7.5901
AIXA GR Equity,AIXTRON SE,7.8295
AKAM US Equity,AKAMAI TECHNOLOGIES INC,4.5338
AKTSQ US Equity,AKOUSTIS TECHNOLOGIES INC,2.8358
NMI GR Equity,ALADDIN HEALTHCARE TECHNOLOG,673.8116
ALAN US Equity,ALANCO TECHNOLOGIES INC, 
ALMY US Equity,ALCHEMY CREATIVE INC, 
ALFA LN Equity,ALFA FINANCIAL SOFTWARE HOLD,6.2972
RIME US Equity,ALGORHYTHM HOLDINGS INC,1.192
ALW IM Equity,ALGOWATT SPA,-0.1946
ALYA CN Equity,ALITHYA GROUP INC-CLASS A,1.1726
ALJJ US Equity,ALJ REGIONAL HOLDINGS INC/OL,-0.9341
A1OS GR Equity,ALL FOR ONE GROUP SE,4.0495
ATMH US Equity,ALL THINGS MOBILE ANALYTIC, 
ADGL US Equity,ALLDIGITAL HOLDINGS INC,-9.9431
ALGM US Equity,ALLEGRO MICROSYSTEMS INC, 
ADSV US Equity,ALLIED SECURITY INNOVATIONS,-128.0634
AOSL US Equity,ALPHA & OMEGA SEMICONDUCTOR,1.5795
NPA/H CN Equity,ALPHINAT INC,-21.886
ALTR US Equity,ALTAIR ENGINEERING INC - A,5.7537
AHG CN Equity,ALTERNATE HEALTH CORP,-10.4913
AYX US Equity,ALTERYX INC - CLASS A,5.8935
ALC SM Equity,ALTIA CONSULTORES SA,4.4779
ATGN US Equity,ALTIGEN COMMUNICATIONS INC, 
ALT LN Equity,ALTITUDE GROUP PLC,20.0676
AMBA US Equity,AMBARELLA INC,14.6384
DOX US Equity,AMDOCS LTD,5.9161
ADHC US Equity,AMERICAN DIVERSIFIED HOLDING, 
AGIN US Equity,AMERICAN GRAPHITE TECHNOLOGI, 
AMWK US Equity,AMERISTAR NETWORK INC, 
ATVK US Equity,AMERITEK VENTURES,-313.9126
AMST US Equity,AMESITE INC, 
AMIDO SS Equity,AMIDO AB, 
AMJT US Equity,AMJ GLOBAL TECHNOLOGY, 
AMKR US Equity,AMKOR TECHNOLOGY INC,2.1095
AMPD CN Equity,AMPD VENTURES INC, 
AMPG US Equity,AMPLITECH GROUP INC,1.2261
AMS SW Equity,AMS-OSRAM AG,1.4122
ASYS US Equity,AMTECH SYSTEMS INC,2.9264
ALY CN Equity,ANALYTIXINSIGHT INC,15.6438
PLAN US Equity,ANAPLAN INC,10.5418
ANDI US Equity,ANDIAMO CORP, 
ANDR US Equity,ANDREA ELECTRONICS CORP,-114.5243
ALANV FP Equity,ANEVIA SA,1.9869
ANON CN Equity,ANONYMOUS INTELLIGENCE COMPA,-612.3783
ANOT SS Equity,ANOTO GROUP AB,-29.6891
ANSS US Equity,ANSYS INC,18.2218
ATEX US Equity,ANTERIX INC,14.9363
APPF US Equity,APPFOLIO INC - A,31.668
APGTQ US Equity,APPGATE INC, 
APPN US Equity,APPIAN CORP-A,14.4384
AAPL US Equity,APPLE INC,6.1531
AMAT US Equity,APPLIED MATERIALS INC,7.1298
AAOI US Equity,APPLIED OPTOELECTRONICS INC,0.8392
AUVIQ US Equity,APPLIED UV INC, 
ALDS US Equity,APPLIFE DIGITAL SOLUTIONS IN,-26.5696
ASFT US Equity,APPSOFT TECHNOLOGIES INC,-2001.0751
APTR SS Equity,APPSPOTR AB, 
2054374D US Equity,APPYEA INC/SD, 
APTY US Equity,APT SYSTEMS INC, 
APTD LN Equity,APTITUDE SOFTWARE GROUP PLC,5.5436
AHCD US Equity,ARCHIVALCD INC, 
