Ticker,Name,AZS
 ,Investable Universe (1995),-215.97
,,
ONE CN Equity,01 COMMUNIQUE LABORATORY INC,-218.4277
ISOL US Equity,1MAGE SOFTWARE INC,-45.8482
SPA LN Equity,1SPATIAL PLC,1.4065
AL2SI FP Equity,2CRSI SA, 
DDD US Equity,3D SYSTEMS CORP,-4.1771
4GBL LN Equity,4GLOBAL PLC,4.3494
74SW FP Equity,74SOFTWARE SA,3.7687
EGHT US Equity,8X8 INC,-1.0998
ATEN US Equity,A10 NETWORKS INC,4.6054
AAT IM Equity,AA TECH SPA,0.9158
SPERR SS Equity,AB SPERRUNG,-3.7236
ABXX CN Equity,ABAXX TECHNOLOGIES IN,25.8561
ABBY US Equity,ABBY INC, 
ABLD FP Equity,ABL DIAGNOSTICS, 
ABZT US Equity,ABLAZE TECHNOLOGIES INC, 
AECX US Equity,ACADIA ENERGY CORP, 
ACAST SS Equity,ACAST AB,3.0116
ACNV US Equity,ACCELERA INNOVATIONS INC, 
ATHC US Equity,ACCELERATED TECHNOLOGIES HOL,-42.1839
AXE CN Equity,ACCELEWARE LTD, 
ACN US Equity,ACCENTURE PLC-CL A,8.5136
ACCS US Equity,ACCESS NEWSWIRE INC,4.8086
ACSO LN Equity,ACCESSO TECHNOLOGY GROUP PLC,6.5642
ACCON SS Equity,ACCONEER AB,6.8403
ACIW US Equity,ACI WORLDWIDE INC,5.1604
ACMR US Equity,ACM RESEARCH INC-CLASS A,2.4366
ACFN US Equity,ACORN ENERGY INC,-20.4581
EOS FP Equity,ACTEOS,0.7468
AOM LN Equity,ACTIVEOPS PLC,3.5489
MLACT FP Equity,ACTIVIUM GROUP,0.8769
ACRM LN Equity,ACUITY RM GROUP PLC,-7.8644
ACVA US Equity,ACV AUCTIONS INC-A,3.3928
ANODB SS Equity,ADDNODE GROUP AB, 
ADEA US Equity,ADEIA INC,2.9696
ADN1 GR Equity,ADESSO SE,2.9596
ALARF FP Equity,ADEUNIS RF SACA,0.8084
ADMCM FH Equity,ADMICOM OYJ,19.0121
ADBE US Equity,ADOBE INC,14.3607
ADTN US Equity,ADTRAN HOLDINGS INC,-0.6705
ADV GR Equity,ADTRAN NETWORKING SE,4.6642
ABT GR Equity,ADVANCED BITCOIN TECHNOLOGIE, 
ABX GR Equity,ADVANCED BLOCKCHAIN AG,3.3291
AMD US Equity,ADVANCED MICRO DEVICES,14.4321
APWL US Equity,ADVANCED POWERLINE TECHNOLOG, 
ADGO US Equity,ADVANTEGO CORP,-12331.981
ADVE SS Equity,ADVENICA AB,3.2045
