Ticker,Name,AZS
 ,Investable Universe (1801),-468.92
,,
ONE CN Equity,01 COMMUNIQUE LABORATORY INC,-71.2147
ISOL US Equity,1MAGE SOFTWARE INC,-45.8482
SPA LN Equity,1SPATIAL PLC,-6.1963
DRWIQ US Equity,3517667 CANADA INC,-9.1884
DDD US Equity,3D SYSTEMS CORP,5.4546
4STVP BB Equity,4 ST SERVICES, 
MLOVE FP Equity,4SERVICE CLOUD TECH AG, 
BARZ US Equity,5BARZ INTERNATIONAL INC,-77.6013
2448602D US Equity,6D GLOBAL TECHNOLOGIES INC,8.31
74SW FP Equity,74SOFTWARE SA,3.454
EGHT US Equity,8X8 INC,16.9871
ATEN US Equity,A10 NETWORKS INC,1.7285
SPERR SS Equity,AB SPERRUNG, 
ABXX CN Equity,ABAXX TECHNOLOGIES IN,-9.7245
ABBY US Equity,ABBY INC, 
ABZT US Equity,ABLAZE TECHNOLOGIES INC, 
ABST CN Equity,ABSOLUTE SOFTWARE CORPORATIO,-0.735
ACIA US Equity,ACACIA COMMUNICATIONS INC,11.4359
AECX US Equity,ACADIA ENERGY CORP, 
ACANB SS Equity,ACANDO AB,7.3251
ACNV US Equity,ACCELERA INNOVATIONS INC, 
AXE CN Equity,ACCELEWARE LTD,-51.4941
ACN US Equity,ACCENTURE PLC-CL A,8.5419
AWWC US Equity,ACCESS WORLDWIDE COMM INC,-6.3362
ACSO LN Equity,ACCESSO TECHNOLOGY GROUP PLC,12.6916
ACCON SS Equity,ACCONEER AB,23.8417
ACIW US Equity,ACI WORLDWIDE INC,5.4844
ACMR US Equity,ACM RESEARCH INC-CLASS A,4.2836
ACFN US Equity,ACORN ENERGY INC, 
EOS FP Equity,ACTEOS,1.1485
MLACT FP Equity,ACTIVIUM GROUP,3.8211
ACT LN Equity,ACTUAL EXPERIENCE PLC,114.6747
ADEA US Equity,ADEIA INC,2.501
ADN1 GR Equity,ADESSO SE, 
ADMCM FH Equity,ADMICOM OYJ, 
ADBE US Equity,ADOBE INC,13.6319
ADTN US Equity,ADTRAN HOLDINGS INC,5.7799
9990711D US Equity,ADTRAN INC, 
ADV GR Equity,ADTRAN NETWORKING SE,2.5323
ABX GR Equity,ADVANCED BLOCKCHAIN AG, 
AMD US Equity,ADVANCED MICRO DEVICES,5.614
APWL US Equity,ADVANCED POWERLINE TECHNOLOG, 
ADVCD US Equity,ADVANT-E CORPORATION,11.7667
ADVE SS Equity,ADVENICA AB,0.9482
AEHR US Equity,AEHR TEST SYSTEMS,1.7258
AGHC US Equity,AEON GLOBAL HEALTH CORP,-4.7791
AERS US Equity,AERIUS INC, 
1918511D US Equity,AEROHIVE NETWORKS INC,-0.3179
AFRN LN Equity,AFERIAN PLC,6.5135
AFFN US Equity,AFFINITY NETWORKS INC, 
AFTM US Equity,AFTERMASTER INC,-113.2759
AGNUQ US Equity,AG&E HOLDINGS INC,-10.3115
AIFS US Equity,AGENT INFORMATION SOFTWARE I, 
AGIL SM Equity,AGILE CONTENT SA,-0.729
AGILC DC Equity,AGILLIC A/S, 
AGYS US Equity,AGILYSYS INC,8.0139
AJX CN Equity,AGJUNCTION INC,0.7756
AIRG US Equity,AIRGAIN INC,10.3378
IQ CN Equity,AIRIQ INC, 
APPS LN Equity,AIRNOW PLC,2.8329
2554116D US Equity,AIRSPAN NETWORKS INC,-6.9705
2371225D US Equity,AIRTOUCH COMMUNICATIONS INC, 
AISX CN Equity,AISIX SOLUTIONS INC, 
AIXIAB SS Equity,AIXIA GROUP AB, 
AIXA GR Equity,AIXTRON SE,6.5462
AKAM US Equity,AKAMAI TECHNOLOGIES INC,4.4203
AKTSQ US Equity,AKOUSTIS TECHNOLOGIES INC,1.3772
NMI GR Equity,ALADDIN HEALTHCARE TECHNOLOG,673.8319
ALAN US Equity,ALANCO TECHNOLOGIES INC, 
ALMY US Equity,ALCHEMY CREATIVE INC, 
ALFA LN Equity,ALFA FINANCIAL SOFTWARE HOLD,21.0732
RIME US Equity,ALGORHYTHM HOLDINGS INC,5.0326
ALW IM Equity,ALGOWATT SPA,-0.4351
ALYA CN Equity,ALITHYA GROUP INC-CLASS A, 
ALJJ US Equity,ALJ REGIONAL HOLDINGS INC/OL,1.4263
A1OS GR Equity,ALL FOR ONE GROUP SE,5.9098
ATMH US Equity,ALL THINGS MOBILE ANALYTIC, 
ADGL US Equity,ALLDIGITAL HOLDINGS INC,-9.9431
