Ticker,Name,AZS
 ,Investable Universe (1770),-242.87
,,
ONE CN Equity,01 COMMUNIQUE LABORATORY INC,-225.3432
ISOL US Equity,1MAGE SOFTWARE INC,-45.8482
SPA LN Equity,1SPATIAL PLC,-8.058
DRWIQ US Equity,3517667 CANADA INC,-9.1884
DDD US Equity,3D SYSTEMS CORP,3.8795
4STVP BB Equity,4 ST SERVICES, 
MLOVE FP Equity,4SERVICE CLOUD TECH AG, 
BARZ US Equity,5BARZ INTERNATIONAL INC,-77.6013
2448602D US Equity,6D GLOBAL TECHNOLOGIES INC,8.31
74SW FP Equity,74SOFTWARE SA,3.7083
EGHT US Equity,8X8 INC,15.4972
ATEN US Equity,A10 NETWORKS INC,2.2825
SPERR SS Equity,AB SPERRUNG, 
ABXX CN Equity,ABAXX TECHNOLOGIES IN, 
ABBY US Equity,ABBY INC, 
ABZT US Equity,ABLAZE TECHNOLOGIES INC, 
ABST CN Equity,ABSOLUTE SOFTWARE CORPORATIO,-1.1736
ACIA US Equity,ACACIA COMMUNICATIONS INC, 
AECX US Equity,ACADIA ENERGY CORP, 
ACANB SS Equity,ACANDO AB,7.8858
ACNV US Equity,ACCELERA INNOVATIONS INC, 
AXE CN Equity,ACCELEWARE LTD,-14.2357
ACN US Equity,ACCENTURE PLC-CL A,8.1967
AWWC US Equity,ACCESS WORLDWIDE COMM INC,-6.3362
ACSO LN Equity,ACCESSO TECHNOLOGY GROUP PLC,8.4975
ACCON SS Equity,ACCONEER AB, 
ACIW US Equity,ACI WORLDWIDE INC,5.4628
ACMR US Equity,ACM RESEARCH INC-CLASS A, 
ACFN US Equity,ACORN ENERGY INC,-15.8414
EOS FP Equity,ACTEOS,1.5457
MLACT FP Equity,ACTIVIUM GROUP, 
ACTA US Equity,ACTUA CORP,-6.1132
ACT LN Equity,ACTUAL EXPERIENCE PLC,102.9593
ADEA US Equity,ADEIA INC,2.5948
ADN1 GR Equity,ADESSO SE, 
ADBE US Equity,ADOBE INC,12.6203
ADTN US Equity,ADTRAN HOLDINGS INC,7.2898
9990711D US Equity,ADTRAN INC, 
ADV GR Equity,ADTRAN NETWORKING SE,2.1143
ABX GR Equity,ADVANCED BLOCKCHAIN AG, 
AMD US Equity,ADVANCED MICRO DEVICES,1.112
APWL US Equity,ADVANCED POWERLINE TECHNOLOG, 
ADVCD US Equity,ADVANT-E CORPORATION,11.7667
ADVE SS Equity,ADVENICA AB,4.3336
AEHR US Equity,AEHR TEST SYSTEMS,2.0535
AGHC US Equity,AEON GLOBAL HEALTH CORP,-2.4931
AERS US Equity,AERIUS INC, 
1918511D US Equity,AEROHIVE NETWORKS INC,-0.3031
AFRN LN Equity,AFERIAN PLC,9.0485
AFE1V FH Equity,AFFECTO OYJ,4.2145
AFFN US Equity,AFFINITY NETWORKS INC, 
AFTM US Equity,AFTERMASTER INC,-78.7288
AGNUQ US Equity,AG&E HOLDINGS INC,-3.7802
AIFS US Equity,AGENT INFORMATION SOFTWARE I, 
AGIL SM Equity,AGILE CONTENT SA,-0.729
AGYS US Equity,AGILYSYS INC,6.8404
AJX CN Equity,AGJUNCTION INC,1.8806
AIRG US Equity,AIRGAIN INC,6.0747
IQ CN Equity,AIRIQ INC, 
APPS LN Equity,AIRNOW PLC, 
2554116D US Equity,AIRSPAN NETWORKS INC,-6.9705
2371225D US Equity,AIRTOUCH COMMUNICATIONS INC, 
AIXA GR Equity,AIXTRON SE,10.0821
AKAM US Equity,AKAMAI TECHNOLOGIES INC,5.286
NMI GR Equity,ALADDIN HEALTHCARE TECHNOLOG, 
ALAN US Equity,ALANCO TECHNOLOGIES INC, 
ALMY US Equity,ALCHEMY CREATIVE INC, 
ALFA LN Equity,ALFA FINANCIAL SOFTWARE HOLD,32.7489
RIME US Equity,ALGORHYTHM HOLDINGS INC, 
ALW IM Equity,ALGOWATT SPA,0.6322
EDGW US Equity,ALITHYA USA INC,4.0865
ALJJ US Equity,ALJ REGIONAL HOLDINGS INC/OL,1.5274
A1OS GR Equity,ALL FOR ONE GROUP SE,6.4102
ATMH US Equity,ALL THINGS MOBILE ANALYTIC, 
ADGL US Equity,ALLDIGITAL HOLDINGS INC,-9.9431
ADSV US Equity,ALLIED SECURITY INNOVATIONS,-128.0634
AOSL US Equity,ALPHA & OMEGA SEMICONDUCTOR,3.9861
ARGP LN Equity,ALPHA RETURNS GROUP PLC,1.2577
NPA/H CN Equity,ALPHINAT INC,-20.1844
ALTR US Equity,ALTAIR ENGINEERING INC - A, 
ALTEC GA Equity,ALTEC HOLDINGS S.A. IT & COM,-36.1891
AYX US Equity,ALTERYX INC - CLASS A,7.1397
ALC SM Equity,ALTIA CONSULTORES SA,9.5943
ATGN US Equity,ALTIGEN COMMUNICATIONS INC, 
ALT LN Equity,ALTITUDE GROUP PLC,20.8797
TXA GR Equity,AMATECH AG, 
AMBA US Equity,AMBARELLA INC,17.9913
2557527D US Equity,AMBER ROAD INC,-2.756
ABHI US Equity,AMBICOM HOLDINGS INC, 
DOX US Equity,AMDOCS LTD,7.7333
ADHC US Equity,AMERICAN DIVERSIFIED HOLDING, 
AGIN US Equity,AMERICAN GRAPHITE TECHNOLOGI, 
AMWK US Equity,AMERISTAR NETWORK INC, 
ATVK US Equity,AMERITEK VENTURES, 
AMJT US Equity,AMJ GLOBAL TECHNOLOGY, 
